PRE4,26,B10,Mbira,Cp,PERC.
PRE4,27,B11,GlassMbira,Cp,PERC.
PRE4,28,B12,Tabla,Dr,PERC.
PRE4,29,B13,Tabla 2,Dr,PERC.
PRE4,30,B14,Tabla Zone,Dr,PERC.
PRE4,31,B15,Udu,Dr,PERC.
PRE4,32,B16,Djembe,Dr,PERC.
PRE4,33,C01,Dhol,Dr,PERC.
PRE4,34,C02,Kemence,St,SOLO
PRE4,35,C03,Kemen Wet,St,SOLO
PRE4,36,C04,Kokyu,St,SOLO
PRE4,37,C05,Yayli,St,ENSEM.
PRE4,38,C06,ChurchOohs,Pd,CHOIR
PRE4,39,C07,Dark Ooh,Pd,CHOIR
PRE4,40,C08,BrightHaah,Pd,CHOIR
PRE4,41,C09,Ooh-Aah,Pd,CHOIR
PRE4,42,C10,SynChoir,Pd,CHOIR
PRE4,43,C11,Nativity,Pd,CHOIR
PRE4,44,C12,PeaceVox,Pd,CHOIR
PRE4,45,C13,AngelVoice,Pd,CHOIR
PRE4,46,C14,SpaceChoir,Pd,CHOIR
PRE4,47,C15,Nebulae,Pd,CHOIR
PRE4,48,C16,GlassChoir,Pd,CHOIR
PRE4,49,D01,Shandala,Pd,CHOIR
PRE4,50,D02,AquaStop,Pd,CHOIR
PRE4,51,D03,Talk Box,Pd,CHOIR
PRE4,52,D04,Paradies,Pd,BRIGHT
PRE4,53,D05,Westerlies,Pd,BRIGHT
PRE4,54,D06,Tibet Ens.,Pd,BRIGHT
PRE4,55,D07,Pan Sphere,Pd,SOFT
PRE4,56,D08,Homesick,Pd,SOFT
PRE4,57,D09,Atlantis,Me,MOTION
PRE4,58,D10,Forest,Me,MOTION
PRE4,59,D11,Analog,Pd,SOFT
PRE4,60,D12,MellowAnlg,Pd,SOFT
PRE4,61,D13,Square,Pd,SOFT
PRE4,62,D14,BackPad MW,Pd,SOFT
PRE4,63,D15,PWM Soft,Pd,SOFT
PRE4,64,D16,Sine Pad,Pd,SOFT
PRE4,65,E01,HighSine,Pd,SOFT
PRE4,66,E02,The Synth,Pd,SOFT
PRE4,67,E03,Ana Dreams,Pd,BRIGHT
PRE4,68,E04,BrassMover,Pd,SOFT
PRE4,69,E05,Dark Light,Pd,SOFT
PRE4,70,E06,Twist Pad,Pd,BRIGHT
PRE4,71,E07,Fat Eight,Pd,BRIGHT
PRE4,72,E08,X-Shower,Pd,BRIGHT
PRE4,73,E09,Digi Stuff,Pd,BRIGHT
PRE4,74,E10,Pure Syn,Pd,BRIGHT
PRE4,75,E11,Voxy Air,Pd,BRIGHT
PRE4,76,E12,SmoothBlue,Pd,SOFT
PRE4,77,E13,DarkVox,Pd,SOFT
PRE4,78,E14,Ore,Pd,SOFT
PRE4,79,E15,Fazer Pad,Pd,BRIGHT
PRE4,80,E16,GreenGiant,Pd,BRIGHT
PRE4,81,F01,Love me,Pd,BRIGHT
PRE4,82,F02,Pearls,Pd,BRIGHT
PRE4,83,F03,Ohm-Like,Pd,SOFT
PRE4,84,F04,AllYouNeed,Pd,BRIGHT
PRE4,85,F05,FrozenVox,Pd,CHOIR
PRE4,86,F06,Sand Pad,Pd,BRIGHT
PRE4,87,F07,Digi Sheen,Pd,BRIGHT
PRE4,88,F08,Eclipse,Me,MOTION
PRE4,89,F09,Arc-light,Pd,BRIGHT
PRE4,90,F10,Grass Arp,Pd,SOFT
PRE4,91,F11,SabreOrgan,Pd,BRIGHT
PRE4,92,F12,Don't Cry!,Pd,BRIGHT
PRE4,93,F13,Vapor,Pd,SOFT
PRE4,94,F14,Silverlake,Pd,SOFT
PRE4,95,F15,FrozenPad,Pd,BRIGHT
PRE4,96,F16,Shine on,Pd,SOFT
PRE4,97,G01,DarkTower,Pd,BRIGHT
PRE4,98,G02,Sadness,Pd,BRIGHT
PRE4,99,G03,Whisperer,Pd,BRIGHT
PRE4,100,G04,MagicSquif,Pd,SOFT
